DATE, TIME, TRACK NUM, EZ, EX, SPEED (mph), 
16APR24, 18:21:08.1, Track 3, 98, 100, 46, 
16APR24, 18:21:20.1, Track 3, 101, 99, 27, 
16APR24, 18:21:59.9, Track 3, 98, 99, 36, 
16APR24, 18:22:09.8, Track 3, 101, 99, 18, 
16APR24, 18:22:48.9, Track 3, 98, 100, 43, 
16APR24, 18:22:58.9, Track 3, 101, 99, 11, 
16APR24, 18:23:29.6, Track 1, 88, 100, , 
16APR24, 18:23:32.0, Track 1, 85, 100, 28, 
16APR24, 18:23:33.2, Track 1, 82, 100, 99, 
16APR24, 18:23:35.6, Track 1, 79, 100, 98, 
16APR24, 18:23:38.4, Track 1, 76, 100, 77, 
16APR24, 18:23:39.5, Track 1, 73, 100, 96, 
16APR24, 18:23:42.3, Track 1, 70, 100, 82, 
16APR24, 18:23:44.7, Track 1, 67, 100, 82, 
16APR24, 18:23:46.3, Track 1, 64, 100, 93, 
16APR24, 18:23:49.1, Track 1, 61, 100, 80, 
16APR24, 18:23:51.4, Track 1, 58, 101, 84, 
16APR24, 18:23:53.4, Track 1, 55, 101, 82, 
16APR24, 18:23:56.3, Track 1, 52, 100, 78, 
16APR24, 18:23:58.7, Track 1, 49, 101, 84, 
16APR24, 18:24:01.4, Track 1, 46, 101, 70, 
16APR24, 18:24:03.5, Track 1, 43, 101, 82, 
16APR24, 18:24:06.7, Track 1, 40, 101, 69, 
16APR24, 18:24:09.1, Track 1, 37, 101, 75, 
16APR24, 18:24:11.5, Track 1, 34, 101, 75, 
16APR24, 18:24:14.7, Track 1, 31, 101, 70, 
16APR24, 18:24:17.5, Track 1, 28, 101, 71, 
16APR24, 18:24:20.3, Track 1, 25, 101, 68, 
16APR24, 18:24:22.6, Track 1, 22, 102, 68, 
16APR24, 18:24:26.3, Track 1, 19, 102, 66, 
16APR24, 18:24:28.7, Track 1, 16, 102, 63, 
16APR24, 18:24:31.9, Track 1, 13, 102, 64, 
16APR24, 18:24:35.1, Track 1, 10, 102, 63, 
